"","BID_UNIT","QUANTITY","UNIT","UNIT_RATE","MILESTONE_RATE","MILESTONE_PERCENTAGE","MILESTONE_NM","MILESTONE_CTGY","MILESTONE_CTGY_GRP","CONSTRUCTION_TYPE","MARKET_ID"
"38","E-350.1",127776,"foot",0.55,0.385,70,"1-Engineering","2-Cable Design","2-Cable Design","Existing UG",79
"39","E-350.2",127776,"foot",0.55,0.11,20,"1-Engineering","4-Cable Placed","4-Cable Placed","Existing UG",79
"40","E-350.3",127776,"foot",0.55,0.055,10,"1-Engineering","6-As Built Complete","6-As Built","Existing UG",79
"41","E-355.1",102221,"foot",0.99,0.693,70,"1-Engineering","2-Cable Design","2-Cable Design","Existing UG",79
"42","E-355.2",102221,"foot",0.99,0.198,20,"1-Engineering","4-Cable Placed","4-Cable Placed","Existing UG",79
"43","E-355.3",102221,"foot",0.99,0.099,10,"1-Engineering","6-As Built Complete","6-As Built","Existing UG",79
"44","E-400.1",1277760,"foot",1.55,1.085,70,"1-Engineering","2-Cable Design","2-Cable Design","Aerial",79
"45","E-400.2",1277760,"foot",1.55,0.31,20,"1-Engineering","4-Cable Placed","4-Cable Placed","Aerial",79
"46","E-400.3",1277760,"foot",1.55,0.155,10,"1-Engineering","6-As Built Complete","6-As Built","Aerial",79
"47","C-100.1",733286,"foot",18.4,11.04,60,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",72
"48","C-100.1A",1,"foot",18.4,15.64,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",72
"49","C-100.1B",1,"foot",18.4,4.6,25,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",72
"50","C-100.1X",1,"foot",18.4,15.64,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",72
"51","C-100.2",733286,"foot",18.4,7.36,40,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",72
"52","C-100.2A",1,"foot",18.4,2.76,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",72
"53","C-100.2B",1,"foot",18.4,2.76,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",72
"54","C-110.1",78566,"foot",17.63,10.578,60,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",72
"55","C-110.1A",1,"foot",17.63,14.9855,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",72
"56","C-110.1B",1,"foot",17.63,4.4075,25,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",72
"57","C-110.1X",1,"foot",17.63,14.9855,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",72
"58","C-110.2",78566,"foot",17.63,7.052,40,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",72
"59","C-110.2A",1,"foot",17.63,2.6445,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",72
"60","C-110.2B",1,"foot",17.63,2.6445,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",72
"61","C-120.1",26189,"foot",18,10.8,60,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",72
"62","C-120.1A",1,"foot",18,15.3,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",72
"63","C-120.1B",1,"foot",18,4.5,25,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",72
"64","C-120.2",26189,"foot",18,7.2,40,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Microtrench",72
"65","C-200.1",209511,"foot",3,1.8,60,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",72
"66","C-200.1A",1,"foot",3,2.55,85,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",72
"67","C-200.1B",1,"foot",3,0.75,25,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",72
"68","C-200.1X",1,"foot",3,2.55,85,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",72
"69","C-200.2",209511,"foot",3,1.2,40,"2-Construction","5-Splice and Test","5-Splice and Test","Existing UG",72
"70","C-200.2A",1,"foot",3,0.45,15,"2-Construction","5-Splice and Test","5-Splice and Test","Existing UG",72
"71","C-200.2B",1,"foot",3,0.45,15,"2-Construction","5-Splice and Test","5-Splice and Test","Existing UG",72
"72","C-300.1",1571328,"foot",2.25,1.35,60,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",72
"73","C-300.1A",1,"foot",2.25,1.9125,85,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",72
"74","C-300.1B",1,"foot",2.25,0.5625,25,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",72
"75","C-300.1X",1,"foot",2.25,1.9125,85,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",72
"76","C-300.2",1571328,"foot",2.25,0.9,40,"2-Construction","5-Splice and Test","5-Splice and Test","Aerial",72
"77","C-300.2A",1,"foot",2.25,0.3375,15,"2-Construction","5-Splice and Test","5-Splice and Test","Aerial",72
"78","C-300.2B",1,"foot",2.25,0.3375,15,"2-Construction","5-Splice and Test","5-Splice and Test","Aerial",72
"79","E-200.1",2618880,"foot",0.68,0.17,25,"4-Project Management","2-Cable Design","2-Cable Design","Project Management",72
"80","E-200.2",2618880,"foot",0.68,0.51,75,"4-Project Management","5-Splice and Test","5-Splice and Test","Project Management",72
"81","E-300.1",838041,"foot",1.44,1.008,70,"1-Engineering","2-Cable Design","2-Cable Design","New UG Shared",72
"82","E-300.2",838041,"foot",1.44,0.288,20,"1-Engineering","4-Cable Placed","4-Cable Placed","New UG Shared",72
"83","E-300.3",838041,"foot",1.44,0.144,10,"1-Engineering","6-As Built Complete","6-As Built","New UG Shared",72
"84","E-350.1",52378,"foot",0.87,0.609,70,"1-Engineering","2-Cable Design","2-Cable Design","Existing UG",72
"85","E-350.2",52378,"foot",0.87,0.174,20,"1-Engineering","4-Cable Placed","4-Cable Placed","Existing UG",72
"86","E-350.3",52378,"foot",0.87,0.087,10,"1-Engineering","6-As Built Complete","6-As Built","Existing UG",72
"87","E-355.1",157133,"foot",1.2,0.84,70,"1-Engineering","2-Cable Design","2-Cable Design","Existing UG",72
"88","E-355.2",157133,"foot",1.2,0.24,20,"1-Engineering","4-Cable Placed","4-Cable Placed","Existing UG",72
"89","E-355.3",157133,"foot",1.2,0.12,10,"1-Engineering","6-As Built Complete","6-As Built","Existing UG",72
"90","E-400.1",1571328,"foot",0.99,0.693,70,"1-Engineering","2-Cable Design","2-Cable Design","Aerial",72
"91","E-400.2",1571328,"foot",0.99,0.198,20,"1-Engineering","4-Cable Placed","4-Cable Placed","Aerial",72
"92","E-400.3",1571328,"foot",0.99,0.099,10,"1-Engineering","6-As Built Complete","6-As Built","Aerial",72
"93","C-100.1",471609,"foot",12.8,7.68,60,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",66
"94","C-100.1A",1,"foot",12.8,10.88,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",66
"95","C-100.1B",1,"foot",12.8,3.2,25,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",66
"96","C-100.1X",1,"foot",12.8,10.88,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",66
"97","C-100.2",471609,"foot",12.8,5.12,40,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",66
"98","C-100.2A",1,"foot",12.8,1.92,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",66
"99","C-100.2B",1,"foot",12.8,1.92,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",66
"100","C-110.1",65050,"foot",71.49,42.894,60,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",66
"101","C-110.1A",1,"foot",71.49,60.7665,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",66
"102","C-110.1B",1,"foot",71.49,17.8725,25,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",66
"103","C-110.1X",1,"foot",71.49,60.7665,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",66
"104","C-110.2",65050,"foot",71.49,28.596,40,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",66
"105","C-110.2A",1,"foot",71.49,10.7235,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",66
"106","C-110.2B",1,"foot",71.49,10.7235,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",66
"107","C-120.1",32525,"foot",25.42,15.252,60,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",66
"108","C-120.1A",1,"foot",25.42,21.607,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",66
"109","C-120.1B",1,"foot",25.42,6.355,25,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",66
"110","C-120.2",32525,"foot",25.42,10.168,40,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Microtrench",66
"111","C-200.1",81312,"foot",0.86,0.516,60,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",66
